"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Mahmutlar,"2+1",105000.0,110.0,200.0,164145.71,-59145.70999999999
Mahmutlar,"2+1",105000.0,90.0,1000.0,164145.71,-59145.70999999999
Mahmutlar,"2+1",105000.0,92.0,150.0,164145.71,-59145.70999999999
Mahmutlar,"2+1",105000.0,115.0,1500.0,164145.71,-59145.70999999999
Tosmur,"2+1",107500.0,110.0,200.0,165903.23,-58403.23000000001
Alanya(Center),"1+1",110000.0,58.0,500.0,168298.97,-58298.97
Kestel,"2+1",152500.0,90.0,50.0,210711.54,-58211.54000000001
Oba,"2+1",128000.0,90.0,300.0,186147.54,-58147.54000000001
Kargıcak,"1+1",91000.0,61.0,1100.0,149085.94,-58085.94
Kargıcak,"1+1",91000.0,50.0,60.0,149085.94,-58085.94
Kargıcak,"1+1",91000.0,50.0,2000.0,149085.94,-58085.94
Alanya(Center),"1+1",110500.0,65.0,250.0,168298.97,-57798.97
Alanya(Center),"1+1",110500.0,60.0,625.0,168298.97,-57798.97
Alanya(Center),"1+1",110500.0,43.0,1200.0,168298.97,-57798.97
Alanya(Center),"1+1",110500.0,57.0,650.0,168298.97,-57798.97
Oba,"1+1",75000.0,65.0,250.0,132396.36,-57396.359999999986
Kestel,"1+1",88500.0,60.0,400.0,145889.58,-57389.57999999999
Kestel,"2+1",153500.0,120.0,50.0,210711.54,-57211.54000000001
Oba,"3+1",220500.0,180.0,2000.0,277600.0,-57100.0
Oba,"3+1",220500.0,165.0,2000.0,277600.0,-57100.0
Oba,"3+1",220500.0,145.0,200.0,277600.0,-57100.0
Mahmutlar,"3+1",209000.0,204.0,450.0,266088.24,-57088.23999999999
Alanya(Center),"2+1",147000.0,80.0,650.0,203551.52,-56551.51999999999
Alanya(Center),"2+1",147000.0,66.0,500.0,203551.52,-56551.51999999999
Alanya(Center),"2+1",147000.0,125.0,600.0,203551.52,-56551.51999999999
Tosmur,"2+1",109500.0,105.0,180.0,165903.23,-56403.23000000001
Oba,"1+1",76000.0,55.0,300.0,132396.36,-56396.359999999986
Alanya(Center),"1+1",112000.0,45.0,700.0,168298.97,-56298.97
Mahmutlar,"3+1",210000.0,165.0,150.0,266088.24,-56088.23999999999
Mahmutlar,"3+1",210000.0,160.0,400.0,266088.24,-56088.23999999999
Mahmutlar,"2+1",108500.0,95.0,250.0,164145.71,-55645.70999999999
Tosmur,"2+1",110500.0,100.0,750.0,165903.23,-55403.23000000001
Tosmur,"2+1",110500.0,110.0,350.0,165903.23,-55403.23000000001
Mahmutlar,"2+1",109000.0,100.0,1500.0,164145.71,-55145.70999999999
Oba,"2+1",131500.0,110.0,300.0,186147.54,-54647.54000000001
Mahmutlar,"2+1",110500.0,101.0,1200.0,164145.71,-53645.70999999999
Mahmutlar,"2+1",110500.0,120.0,300.0,164145.71,-53645.70999999999
Mahmutlar,"2+1",110500.0,130.0,350.0,164145.71,-53645.70999999999
Mahmutlar,"2+1",110500.0,90.0,250.0,164145.71,-53645.70999999999
Mahmutlar,"2+1",110500.0,125.0,600.0,164145.71,-53645.70999999999
Mahmutlar,"2+1",110500.0,111.0,750.0,164145.71,-53645.70999999999
Mahmutlar,"2+1",110500.0,110.0,1500.0,164145.71,-53645.70999999999
Kargıcak,"1+1",95500.0,55.0,2000.0,149085.94,-53585.94
Mahmutlar,"4+1",236500.0,183.0,300.0,289800.0,-53300.0
Kestel,"2+1",157500.0,110.0,100.0,210711.54,-53211.54000000001
Kestel,"2+1",157500.0,110.0,200.0,210711.54,-53211.54000000001
Konaklı,"1+1",100000.0,55.0,280.0,153062.5,-53062.5
Oba,"1+1",79500.0,47.0,4000.0,132396.36,-52896.359999999986
Kestel,"1+1",93000.0,70.0,300.0,145889.58,-52889.57999999999
Alanya(Center),"1+1",115500.0,55.0,700.0,168298.97,-52798.97
Alanya(Center),"1+1",115500.0,45.0,2000.0,168298.97,-52798.97
Kargıcak,"1+1",96500.0,55.0,300.0,149085.94,-52585.94
Kargıcak,"1+1",96500.0,60.0,300.0,149085.94,-52585.94
Oba,"1+1",80000.0,65.0,2000.0,132396.36,-52396.359999999986
Oba,"1+1",80500.0,42.0,400.0,132396.36,-51896.359999999986
Mahmutlar,"2+1",113000.0,100.0,300.0,164145.71,-51145.70999999999
Alanya(Center),"2+1",152500.0,80.0,650.0,203551.52,-51051.51999999999
Alanya(Center),"2+1",152500.0,114.0,4000.0,203551.52,-51051.51999999999
Alanya(Center),"2+1",152500.0,92.0,1000.0,203551.52,-51051.51999999999
Tosmur,"2+1",115500.0,125.0,500.0,165903.23,-50403.23000000001
Tosmur,"3+1",315000.0,150.0,50.0,365000.0,-50000.0
Gazipaşa,"1+1",46500.0,34.0,1000.0,96399.06,-49899.06
Oba,"2+1",136500.0,100.0,1500.0,186147.54,-49647.54000000001
Tosmur,"1+1",120750.0,65.0,500.0,170152.75,-49402.75
Oba,"1+1",83000.0,55.0,3000.0,132396.36,-49396.359999999986
Kestel,"1+1",96500.0,70.0,100.0,145889.58,-49389.57999999999
Kestel,"1+1",96500.0,55.0,700.0,145889.58,-49389.57999999999
Tosmur,"1+1",121000.0,65.0,300.0,170152.75,-49152.75
Mahmutlar,"1+1",66500.0,60.0,1500.0,115592.19,-49092.19
Alanya(Center),"2+1",154500.0,98.0,300.0,203551.52,-49051.51999999999
Cikcilli,"2+1",147000.0,110.0,1500.0,195942.31,-48942.31
Oba,"1+1",83500.0,55.0,3500.0,132396.36,-48896.359999999986
Kargıcak,"3+1",304500.0,195.0,1000.0,353267.86,-48767.859999999986
Oba,"2+1",137500.0,100.0,2000.0,186147.54,-48647.54000000001
Mahmutlar,"2+1",115500.0,150.0,2000.0,164145.71,-48645.70999999999
Mahmutlar,"2+1",115500.0,120.0,450.0,164145.71,-48645.70999999999
Mahmutlar,"2+1",115500.0,110.0,300.0,164145.71,-48645.70999999999
Mahmutlar,"2+1",115500.0,98.0,250.0,164145.71,-48645.70999999999
Mahmutlar,"2+1",115500.0,100.0,1000.0,164145.71,-48645.70999999999
Mahmutlar,"4+1",241500.0,255.0,1500.0,289800.0,-48300.0
Mahmutlar,"4+1",241500.0,220.0,400.0,289800.0,-48300.0
Oba,"1+1",85000.0,50.0,1100.0,132396.36,-47396.359999999986
Alanya(Center),"1+1",121000.0,50.0,600.0,168298.97,-47298.97
Alanya(Center),"1+1",121000.0,58.0,200.0,168298.97,-47298.97
Alanya(Center),"1+1",121000.0,56.0,950.0,168298.97,-47298.97
Mahmutlar,"1+1",68500.0,55.0,500.0,115592.19,-47092.19
Oba,"1+1",86000.0,50.0,3000.0,132396.36,-46396.359999999986
Oba,"1+1",86000.0,52.0,2500.0,132396.36,-46396.359999999986
Mahmutlar,"2+1",118000.0,95.0,50.0,164145.71,-46145.70999999999
Mahmutlar,"2+1",118000.0,110.0,400.0,164145.71,-46145.70999999999
